Country Code,Country Name,gb_MAE,rf_MAE
VIR,Virgin Islands (U.S.),0.13373305424244436,0.170415599323918
TLS,Timor-Leste,0.18483369418257103,0.3606828817993379
BMU,Bermuda,0.19722692809569453,0.23634378894317803
ISR,Israel,0.236617654675093,0.29666088926710954
NZL,New Zealand,0.240343587669008,0.5804136712616034
CHN,China,0.2444971957850168,0.25974262352361804
IRL,Ireland,0.24601201180944635,0.23795030995394484
MDG,Madagascar,0.25383159908977476,2.2321368333765395
BEL,Belgium,0.2690468833480548,0.5998987497470071
PAK,Pakistan,0.27466398194593683,0.5778565661045871
NPL,Nepal,0.28040326367024615,0.7927227651686982
ABW,Aruba,0.36224824412021933,0.36641097315049037
MLT,Malta,0.37013353269878735,0.5096661947698985
AUS,Australia,0.375178134663055,0.16953185559662004
GRL,Greenland,0.37837340883294246,1.2166839539977554
MNG,Mongolia,0.3802920244078277,1.367397172269898
SLB,Solomon Islands,0.38706800637339384,0.46424131774279304
DNK,Denmark,0.391266944258913,0.29954040882325744
TON,Tonga,0.39195386193391357,0.3515412918871579
ITA,Italy,0.39204030401123957,0.6327468942116442
VUT,Vanuatu,0.3923997252973106,0.6819863895951735
SVN,Slovenia,0.39641627009807223,0.44021911309873035
NLD,Netherlands,0.40289688283497493,0.7274561150362013
GAB,Gabon,0.40417934088979407,0.27636724322330397
CUW,Curacao,0.4101818719242155,0.6178164399422752
AUT,Austria,0.42565523936888255,0.7503589227161805
UZB,Uzbekistan,0.4260053194577361,0.36012040597546613
NCL,New Caledonia,0.42694837724304063,0.5193162583095662
NRU,Naoero,0.4270292304884643,0.36273242355317425
BLZ,Belize,0.4285468896756835,0.6051710918464546
SGP,Singapore,0.4324844163098071,0.3019876055179323
KHM,Cambodia,0.43578337482147206,0.4324701785792655
THA,Thailand,0.4382320026262658,0.42317820554046537
CZE,Czechia,0.4441889605279145,0.5763980142823394
TUR,Turkiye,0.452309571362982,0.5018444529733684
ISL,Iceland,0.45705599935239366,0.6752732784929389
FRO,Faroe Islands,0.4621187699699924,0.3083755284297616
EGY,"Egypt, Arab Rep.",0.4781683193522169,0.741447068399261
FRA,France,0.4805309696362103,0.4455383766762614
DEU,Germany,0.4807947250761679,0.6962267945396274
SDN,Sudan,0.4818308708023595,3.674631082410264
FIN,Finland,0.48332028482644557,0.4502428249432947
HRV,Croatia,0.4837224550892577,0.6791653493869555
LUX,Luxembourg,0.48437483910182905,0.5290728081244549
MAF,St. Martin (French part),0.49039286685207845,0.6844722736886257
PAN,Panama,0.4998818560431405,0.5122812062505357
BRA,Brazil,0.5106126575324251,0.5663003513460723
PNG,Papua New Guinea,0.5138573204147658,0.4027416716371071
HUN,Hungary,0.5150929576048399,0.8947037663574411
SEN,Senegal,0.5159999654992279,0.819926756332864
GRC,Greece,0.5171597409347398,0.8716830506857988
NOR,Norway,0.5174926859805391,0.24385238307371646
SWE,Sweden,0.528294421849698,0.2941025129260147
MHL,Marshall Islands,0.5384873817408012,0.7555624099221074
IRQ,Iraq,0.5389465708586217,0.99042046513213
TJK,Tajikistan,0.5489886702300606,0.9433881619842933
LVA,Latvia,0.5496976440842649,0.6409578341370525
MRT,Mauritania,0.5524426169583307,0.5179582333955094
VNM,Viet Nam,0.5545536582684605,0.5954244267071533
CAN,Canada,0.5586903061702585,0.9378153521670728
SUR,Suriname,0.5658659685818344,1.0834012028263527
DOM,Dominican Republic,0.5693268695395571,0.4125044597616822
BRB,Barbados,0.5804986755962154,0.8194673634521785
MAC,"Macao SAR, China",0.5857676589368452,0.37307264488268616
MDV,Maldives,0.5874856948123252,0.6689203278080865
POL,Poland,0.5950531375762165,0.7365585257386278
IRN,"Iran, Islamic Rep.",0.595309354109809,0.7803807471568601
NGA,Nigeria,0.5961470647690376,0.5516608438798858
CYP,Cyprus,0.6069282262478475,0.8284312653674092
PRT,Portugal,0.6104053095502058,0.5932216244377938
LBR,Liberia,0.6241771124874501,0.5217750690959782
FSM,"Micronesia, Fed. Sts.",0.6274735425758291,0.5591467627849952
IMN,Isle of Man,0.6289858394342164,0.9155222973321818
KOR,"Korea, Rep.",0.6519657980734971,0.65683906119802
SAU,Saudi Arabia,0.6612449893766498,0.7136984329992307
TUV,Tuvalu,0.6639041085640816,0.5707887058651244
SRB,Serbia,0.6761550337917441,1.0622291394496306
BHR,Bahrain,0.6775003672102647,0.6975472769142641
JOR,Jordan,0.6819815482707412,0.6391753707939128
CHE,Switzerland,0.6909307616537057,0.31607092319883745
SVK,Slovak Republic,0.6918466036390302,0.6847485783763957
LIE,Liechtenstein,0.6934992808306023,0.8053063128507504
COL,Colombia,0.6947242622075086,0.9339431966481606
LKA,Sri Lanka,0.6986270612308582,0.4483155361389143
GIB,Gibraltar,0.7012714976296982,0.6301733262677789
GTM,Guatemala,0.7044468270347415,1.105282036844068
IDN,Indonesia,0.7046678600956364,0.6358859975147471
GBR,United Kingdom,0.7054634921287561,0.9754970767538166
CHL,Chile,0.708671487798176,0.8907619757300252
MNE,Montenegro,0.7137795543275149,1.1214053504736325
LTU,Lithuania,0.7154856813948854,0.5744516652193437
MDA,Moldova,0.7160700053379773,0.8358485698964535
BGR,Bulgaria,0.7264644933519625,1.0535011647946062
ARG,Argentina,0.7349767019049923,1.2890150189914034
MUS,Mauritius,0.740125362427768,0.5023973976063817
EST,Estonia,0.7487380380996291,0.7955311517030703
KGZ,Kyrgyz Republic,0.751822234630011,1.6371024708124007
VCT,St. Vincent and the Grenadines,0.7525252843392958,0.5196471765851833
KWT,Kuwait,0.7568129093305629,0.8188034278662385
TTO,Trinidad and Tobago,0.7649742864014061,0.6574819494651201
GUY,Guyana,0.7717678725388813,1.0010602220805396
PRI,Puerto Rico (US),0.778974109405284,0.8066171968604622
BTN,Bhutan,0.780090113975867,0.6733420579681225
ROU,Romania,0.7999164391056013,0.8932859034920383
SXM,Sint Maarten (Dutch part),0.8307818375051557,1.1284577350549982
DJI,Djibouti,0.8404650113041863,1.0568272079161944
ERI,Eritrea,0.8435704653663593,5.345928677006201
SYC,Seychelles,0.8634089047783238,1.1049925089519967
PYF,French Polynesia,0.8698889565347602,0.5838915717569342
ESP,Spain,0.8898095040996474,0.5251968864719371
PHL,Philippines,0.9139122720843526,0.47969970344561286
URY,Uruguay,0.9287787309516642,0.9439564749274413
MMR,Myanmar,0.9337568198746377,0.5354442481883908
QAT,Qatar,0.9340695627009956,0.9345499036452589
LAO,Lao PDR,0.9406582253535283,1.0365197410534677
