horizon,year,naive_MAE,linear_MAE,gb_MAE,rf_MAE,best_method
1,2011,0.5403216814656655,0.3839268665978737,0.5176523634762886,0.5601409642056235,linear
2,2012,0.78464344160953,0.48383301221727204,0.6109234991999957,0.5300251921777804,linear
3,2013,1.0858386197594683,0.6558139695709646,0.7280041654848262,0.6903892376265678,linear
4,2014,1.4161931212768322,0.848695326105856,0.9578703458731309,0.9228034983309479,linear
5,2015,1.6415548274699323,1.0970025194056205,1.0429295073495455,1.0829179597231522,gb
6,2016,1.871032977408116,1.2456762782143485,1.1536981441706624,1.1809299302322835,gb
7,2017,2.0795180173092063,1.3996293176113654,1.3033919847117525,1.3476008779170947,gb
8,2018,2.2366158817578965,1.500836999942152,1.2720358018583986,1.4029587558057701,gb
9,2019,2.4739500280993583,1.5779691164540242,1.462125252478322,1.5877694243561489,gb
10,2020,2.03071357761043,2.350524668853388,1.6718391912929464,1.9500716711992157,gb
11,2021,2.0383226930425975,3.0555337694354936,2.1694529446822326,2.4009641258624157,naive
12,2022,2.688272024277847,2.3648116276171636,1.823971362014714,2.1127758646651245,gb
13,2023,3.149628043160615,2.4722475203423375,1.7827047009537837,2.099657104206599,gb
